 ”,w
先声夺人,i
先生,n
先是,d
先手,n
先天,n
先天不足,i
先天下之忧而忧,l
先天性,b
先旺,nr
先下手为强,i
先贤,n
先行,v,vn,vd
先行点,n
先行官,n
先行者,n
先勇,nr
先于,v
先知,n
仙,nr
仙丹,n
仙境,n
仙罗,nr
仙女,n
仙逝,v
仙游县,ns
仙羽,nz
仙云,nr
鲜,ad,a,Ng
鲜菜,n
鲜果,n
鲜红,z
鲜红色,n
鲜花,n
鲜花锦簇,l
鲜活,a,an
鲜见,v
鲜亮,a
鲜美,a
鲜明,a
鲜奶,n
鲜嫩,a
鲜肉,n
鲜为人知,i
鲜鲜亮亮,z
鲜血,n
鲜艳,a
鲜艳夺目,l
鲜艳艳,z
鲜鱼,n
纤维,n
纤维板,n
纤维素,n
纤细,a
咸,a
咸丰,ns
咸鸣,nr
咸肉,n
咸咸的,z
咸阳,ns
咸阳市,ns
咸鱼,n
贤,nr
贤彪,nr
贤斌,nr
贤才,nr
贤亮,nr
贤模,nr
贤内助,n
贤生,nr
贤台,n
贤迅,nr
贤永,nr
衔接,v,vn
舷窗,n
闲,v,a
闲不住,l
闲逛,v
闲居,v
闲人,n
闲散,a
闲事,n
闲适,an
闲谈,v
闲暇,n
闲雅,an
闲云,n
闲章,n
闲置,v,vn
涎水,n
弦,n
弦和,nr
嫌,v
嫌多者,n
嫌弃,v
嫌少者,n
嫌疑,n
嫌疑犯,n
嫌疑人,n
显,v
显出,v
显得,v
显而易见,i
显赫,a
显露,v
显明,a
显然,a,ad
显示,v,vn
显示牌,n
显示屏,n
显示器,n
显现,v
显像管,n
显性,b
显眼,a
显洲,nr
显著,a,ad
显祖,nr
险,a,Ng
险恶,a
险峰,n
险境,n
险峻,a
险情,n
险胜,v
险滩,n
险象,n
险象环生,l
险些,d
险种,n
险阻,n
现,Tg,v
现（后现）代,t
现场,s
现场会,n
现钞,n
现成,b
现出,v
现存,v,vn
现代,t,nz
现代化,v,vn
现代人,n
现代史,n
现代舞团,n]nt,n
现代戏,n
现代型,n
现代主义,n
现当代,j
现房,n
现汇,n
现货,n
现阶段,t
现金,n
现今,t
现明,nr
现年,n
现钱,n
现任,b,v
现如今,t
现身,v
现身说法,i
现时,t
现时代,t
现实,n,a
现实性,n
现实主义,n
现实主义者,n
现象,n
现象学,n
现形,v
现行,b
现役,b
现有,vn,v
现在,t
现政府,n
现职,n
现状,n
献,v
献策,v
献辞,n
献词,n
献给,v
献技,v
献计献策,l
献礼,v,vn
献氢,nr
献瑞,v
献身,v,vn
献县,ns
献血,v,vn
献血法,n
献血者,n
献艺,v
献之,nr
献忠,nr
县,n
县长,n
县城,n
县处级,b
县份,n
县官,n
县级,b
县界,n
县里,n
县区,n
县市长,j
县属,b
县团级,b
县委,n,n]nt
县县,n
县衙署,n
县域,n
县政府,n
县直,j
县志,n
馅,Ng
羡菊,nr
羡林,nr
羡慕,v
羡慕者,n
宪,nr
宪兵,n
宪法,n
宪进,nr
宪励,nr
宪荣,nr
宪欣,nr
宪役,nr
宪章,n,nr
宪政,n
宪志,nr
宪忠,nr
宪梓,nr
陷,v
陷害,v
陷入,v
陷于,v
限,v
限产压锭,j
限定,v,vn
限度,n
限额,vd,n,vn
限价,vd,vn,v
限量,vd
限期,v,n
限时,v
限速,n,vn
限于,v
限制,v,vn
限制性,n
限作,v
线,q,n,n]nz
线段,n
线缆,n
线路,n
线路工,n
线桥,n
线索,n
线条,n
线装,b
相,d,v,nr,Ng
相安无事,i
相伴,v
相比,v
相比之下,l
相差,v
相差无几,l
相称,a
相持,vn
相处,v,vn
相传,v
相达,nr
相当,v,d,vn
相得益彰,i
相等,v
相等于,v
相抵,v
相对,d,b,v
相对论,n
相对人,n
相对主义,n
相反,v,vn
相仿,v
相逢,vn,v
相符,v
相辅相成,i
相隔,v
相关,v,vn
相关性,n
相和,v
相互,b,d
相互之间,l
相互作用,l
相会,v
相机,n
相继,d
相加,v
相间,v
相见,v
相见恨晚,i
相交,v
相接,v
相接处,n
相近,a
相聚,v
相距,v
相联,v
相连,v
相邻,v
相龙,nr
相貌,n
相碰,v
相片,n
相亲,v
相去甚远,i
相荣,nr
相容,v
相如,nr
相声,n
相识,v
相视,v
相似,a
相似性,n
相谈,v
相提并论,i
相通,v
相同,a
相投,v
相望,v
相握,v
相武,nr
相像,a
相向,d
相信,v
相形之下,l
相依,v,d
相依为命,i
相依相克,l
相宜,a
相应,v,vn,vd
相映,v
相映成辉,i
相映生辉,v
相友,nr
相遇,v
相远,nr
相约,v
相中,v
相助,v
相撞,v
相左,v
相悖,v
相濡以沫,i
厢,Ng
厢房,n
镶,v
镶嵌,v
镶嵌画,n
香,a,n
香肠,n
香醇,a
香港,ns
香港岛,ns
香港队,nt
香港站,n
香格里拉,nz
香根·巴登多吉,nr
香菇,n
香河,ns
香化,v
香火,n
香江,ns
香蕉,n
香蕉林,n
香蕉叶,n
香粳,n
香菊片,n
香兰,nr
香料,n
香料厂,n]nt
香梅,nr
香米,n
香喷喷,z
香气,n
香气扑鼻,l
香山,ns
香水,n
香甜,a
香味,n
香烟,n
香烟盒纸,n
香油,n
香茗,n
香榧子,n
香榭丽舍,ns
香槟,n
箱,q,Ng
箱底,n
箱内,s
箱式,b
箱子,n
襄樊,ns
襄樊市,ns
襄樊站,n
襄棉,j
襄曲,ns
湘,nr,j
湘北,ns
湘国,nr
湘江,ns
湘剧院,n
湘昆,j
湘平,nr
湘荣,nr
湘茹,nr
湘潭,ns
湘潭市,ns
湘潭县,ns
湘西,ns
湘乡,ns
湘乡市,ns
乡,n,n]ns
乡长,n
乡愁,n
乡村,n
乡党委,n
乡规民约,n
乡级,b
乡间,s
乡里,n
乡邻,n
乡民,n
乡亲,n
乡情,n
乡土,n
乡下,s
乡下人,n
乡乡,n
乡乡村村,n
乡乡镇镇,n
乡野,n
乡谊,n
乡音,n
乡镇,n
乡镇长,n
乡镇企业,n
乡政府,n
翔,nr
翔辉,nr
翔千,nr
翔谦,nr
翔山,ns
翔实,a,ad
祥,Ag,nr,Ng
祥波,nr
祥芬,nr
祥福,nr
祥国,nr
祥和,a,an
祥虎送福,l
祥利,nr
祥林,nr
祥明,nr
祥鹏,nr
祥仁,nr
祥文,nr
祥熙,nr
祥有,nr
祥云,n
祥正,nr
祥荪,nr
祥麟,nr
详,Ag
详尽,a
详实,a
详文,n
详细,a,ad
想,v,vn
想必,d
想不到,l
想不开,l
想当初,l
想当年,l
想到,v
想法,n,v
想方设法,i
想见,v
想来,v
想念,v
想起,v
想想,v
想想也是,l
想象,v,vn
想象力,n
响,a,v,q
响彻,v
响当当,z
响动,v
响亮,a
响起,v
响声,n
响应,vn,v
享,Vg
享乐,vn,v
享乐主义,n
享年,n
享受,v,vn
享受性,n
享享,v
享用,v
享有,v
享誉,v
项,q,Ng,nr
项次,q
项链,n
项目,n
项目点,n
项目区,n
项群,n
巷,Ng
巷道,n
巷子,n
橡胶,n
橡皮筏子,n
像,v,p,d,n
像模像样,l
像样,a
向,p,nr,v
向兵,nr
向超,nr
向导,n
向东,nr
向刚,nr
向高,nr
向海,ns
向杰,nr
向军,nr
向来,d
向民,nr
向明,nr
向宁,nr
向前,v
向上,v
向庭,nr
向往,vn,v
向文,nr
向心力,n
向阳,nr,v
向着,p
向炜,nr
象,Ng
象角村,ns
象棋,n
象山,ns
象山县,ns
象牙,n
象牙塔,n
象牙者,n
象益,nr
象征,v,vn
象征体,n
象征性,n
萧,nr
萧条,an,a
萧萧,z
硝,n
硝化细菌,n
硝酸盐,n
硝酸铵,n
硝烟,n
硝烟弥漫,l
霄,nr
霄霖,nr
霄鹏,nr
削,v
削果器,n
削减,v
削球手,n
削弱,v,vn
削足适履,i
哮喘,n
嚣张气焰,l
销,v,j
销毁,v
销货,v
销货款,n
销量,n
销路,n
销声匿迹,i
销势,n
销售,v,vn
销售部,n
销售点,n
销售店,n
销售额,n
销售奖,n
销售量,n
销售率,n
销售权,n
销售商,n
销售税,n
销售员,n
销烟,v
消,v
消摆,n
消长,v
消除,v
消毒,v,vn
消毒剂,n
消毒器,n
消毒学,n
消防,b
消防车,n
消防处,n
消防队,n]nt,n
消防局,n]nt
消防厅,n]nt
消费,vn,v
消费额,n
消费国,n
消费类,n
消费力,n
消费量,n
消费品,n
消费群,n
消费税,n
消费者,n
消耗,v,vn
消化,v,vn
消火栓,n
消极,a,ad
消灭,v
消遣,v
消融,v
消失,v,vn
消逝,vn
消瘦,a
消退,v
消亡,vn,v
消息,n
消息报,n
消协,j]nt
消肿,v
晓,nr,Vg
晓白,nr
晓碧,nr
晓波,nr
晓春,nr
晓村,nr
晓得,v
晓东,nr
晓渡,nr
晓飞,nr
晓风,nr
晓刚,nr
晓光,nr
晓航,nr
晓河,nr
晓宏,nr
晓红,nr
晓胡,nr
晓华,nr
晓辉,nr
晓剑,nr
晓建,nr
晓江,nr
晓晶,nr
晓军,nr
晓赖,nr
晓兰,nr
晓雷,nr
晓林,nz
晓林杯,nz
晓玲,nr
晓灵,nr
晓梦,nr
晓明,nr
晓萍,nr
晓平,nr
晓强,nr
晓勤,nr
晓秋,nr
晓泉,nr
晓群,nr
晓声,nr
晓松,nr
晓棠,nr
晓王,nr
晓伟,nr
晓霞,nr
晓夏,nr
晓雪,nr
晓颜,nr
晓燕,nr
晓阳,nr
晓鹰,nr
晓颖,nr
晓宇,nr
晓云,nr
晓章,nr
晓钟,nr
晓周,nr
晓朱,nr
晓菡,nr
晓蕙,nr
晓驷,nr
小,a,ad,an,Ng
小（石示）村,ns
小Ａ,nr
小安,nr
小巴,n
小白菜,n
小白鹭,nz
小半截,m
小宝,nr
小宝宝,n
小报,n
小北山,ns
小本生意,l
小辫,n
小兵,n,nr
小波,nr
小菜,n
小册子,n
小铲,n
小车,n
小吃,n
小吃摊,n
小丑,n
小船,n
小葱,n
小村武,nr
小村正彦,nr
小打小闹,l
小袋装,b
小刀,n
小岛,n
小到中雪,l
小到中雨,l
小到中雨雪,l
小道消息,n
小调儿,n
小动作,n
小额,n
小儿科,n
小儿子,n
小帆,nr
小贩,n
小方帽,n
小费,n
小分队,n
小丰,nr
小丰营村,ns
小风,nr
小冯,nr
小幅,d,b
小富即安,l
小改,vn
小刚,nr
小港村,ns
小姑娘,n
小褂,n
小褂儿,n
小光,nr
小国,nr,n
小孩,n
小孩子,n
小寒,t
小和,nr
小合唱,n
小河,n
小河子村,ns
小贺,nr
小虹,nr
小虎,nr
小花袄,n
小辉,nr
小惠,nr
小伙,n
小伙伴,n
小伙儿,n
小伙子,n
小鸡,n
小记,n
小家电,n
小家伙,n
小家庭,n
小家子气,n
小贾,nr
小件,n
小将,n
小矫情,n
小轿车,n
小街,n
小节,n
小结,n
小姐,n
小界岭,ns
小金,nr
小金库,n
小晶,nr
小精灵,nz
小井庄,ns
小径,n
小剧场,n
小军,nr
小看,v
小康,n
小康村,n
小康县,n
小康型,b
小兰,nr
小浪底,ns
小李,nr
小莉,nr
小量,m
小亮,nr
小廖,nr
小林,nr
小林觉,nr
小林实,nr
小六,nr
小龙坎,ns
小路,n,nr
小萝卜头,nr
小马,nr
小马村,ns
小买卖,n
小麦,n
小卖部,n
小卖店,n
小梅,nr
小美,nr
小米,n
小苗,n
小民,nr
小明,nr
小名头,n
小命,n
小木车,n
小木凳,n
小牧,nr
小囊,n
小妮,nr
小年,t
小鸟,n
小宁,nr
小农,n
小跑,v
小棚,n
小朋友,n
小鹏,nr
小批量,m
小票,n
小品,n
小品文,n
小平,nr
小企,j
小企业,n
小气,a
小气候,n
小汽车,n
小钱,n
小桥,n
小巧玲珑,i
小琴,nr
小青年,n
小区,n,n]nt,n]ns
小区划,n
小曲,n,nr
小圈子,n
小群,nr
小人,n
小人物,n
小锐,nr
小三轮,n
小三马,n
小三峡,ns
小山,n
小商贩,n
小生产,n
小时,n
小时候,t
小事,n
小是小非,l
小鼠,n
小树,n
小双,nr
小顺,nr
小说,n
小说集,n
小说家,n
小苏,nr
小提琴,n
小天鹅,nz
小田,nr
小亭,nr
小偷,n
小推车,n
小腿肚子,n
小婉,nr
小王,nr
小文,nr
小屋,n
小五金店,n
小溪,n
小媳妇,n
小戏,n
小项,n
小巷,n
小小,z
小小的,z
小小说,n
小心,v,a,ad
小心翼翼,i
小型,b
小型张,n
小兄弟,n
小修,vn
小许,nr
小学,n,n]nt
小学生,n
小学校,n
小学组,n
小雪,n
小燕,nr
小英,nr
小勇,nr
小有名气,l
小于,v
小余,nr
小雨,n
小雨夹雪,l
小雨雪,n
小玉,nr
小渊惠三,nr
小院,n
小云,nr
小泽,nr
小泽辰男,nr
小泽一郎,nr
小寨沟,ns
小站稻,n
小张,nr
小赵,nr
小镇,n
小篆,n
小子,n
小字,n
小组,n,n]nt
小组会,n
小芙蓉,nz
小觑,v
小憩,vn,v
小箴,nr
孝,Ng
孝慈,nr
孝东,nr
孝感,ns
孝感市,ns
孝汉,nr
孝敬,v,vn
孝敬乡,ns
孝礼,nr
孝潜,nr
孝泉,nr
孝仁,nr
孝涛,nr
孝通,nr
孝文,nr
孝贤,nr
孝心,n
孝行,nr
孝榆,nr
孝箴,nr
校,Ng
校办,vn
校长,n
校订,v
校对,n
校风,n
校服,n
校歌,n
校际,n
校领导,n
校貌,n
校门,n
校门口,s
校内,s
校内外,s
校牌,n
校舍,n
校时钟,n
校外,s
校校,n
校友,n
校园,n
校正,v
校址,n
肖,nr
肖冰,nr
肖伦,nr
肖梅,nr
肖容,nr
肖像,n
肖形虎,n
肖形印,n
肖子,n
啸,v,nr
啸傲,v
啸风,nr
笑,v,vn,nr
笑呵呵,z
笑话,n
笑口,n
笑浪,nr
笑里藏刀,i
笑脸,n
笑脸相迎,i
笑眯眯,z
笑琴,nr
笑容,n
笑容满面,l
笑声,n
笑谈,n
笑颜,n
笑吟吟,z
笑语,n
笑云,nr
笑逐颜开,i
效,Ng
效达,nr
效仿,v
效果,n
效力,v,n
效率,n
效能,n
效武,nr
效贤,nr
效益,n
效益观,n
效益化,v
效益型,n
效益性,n
效应,n
效用,n
楔形带,n
些,q
些微,d,b
些许,m
歇,v
歇脚,v
歇凉,v
歇斯底里,n
歇息,v
歇歇,v
鞋,n
鞋材,n
鞋厂,n]nt
鞋带,n
鞋垫,n
鞋帽,n
鞋袜,n
鞋业,n
鞋子,n
协办,v,vn
协办员,n
协调,ad,vn,a,v,an
协调会,n
协调局,n]nt
协调性,n
协调员,n
协定,n,n]nz
协和,nz
协会,n]nt,n
协会化,v
协力,d,vn
协商,v,vn
协商会,n
协同,v,vd,vn
协议,vd,n,n]nz,vn,v
协议书,n
协助,v,vn
协奏,vn,v
协奏曲,n
协作,vn,v,vd
协作办,j]nt
协作组,n
挟,v
挟持,v
携,v
携带,v
携带品,n
携儿,v
携起手来,l
携手,vd,v,vn
携手并肩,i
邪,Ag
邪恶,a,an
邪路,n
邪门歪道,l
邪气,n
斜,a,v,ad
斜风细雨,i
斜襟,n
斜坡形,n
斜射,v
斜塔,n]ns,n
胁迫,v
谐,Ag
谐和,a
谐音,n
写,v
写道,v
写稿,v
写明,v
写入,v
写生,v
写实,n,v
写下,v
写信,v
写信人,n
写信者,n
写意,n
写照,n
写真,n,v
写字,v,vn
写字楼,n
写字台,n
写作,vn,v
械斗,vn,v
卸,v
卸掉,v
卸甲庄,ns
卸任,v
卸下,v
卸妆,v
懈怠,a,an
泄,Vg
泄洪,v
泄劲,v
泄漏,v,vn
泄露,v
泄密,v
泄气,v,vn
泻,v
泻湖,n
谢,nr,v,j
谢尔盖耶夫,nr
谢夫隆,nz
谢哈布丁,nr
谢赫·哈西娜,nr
谢赫·哈希娜,nr
谢绝,v
谢克尔,n
谢里夫,nr
谢里夫派,n
谢罗夫,nr
谢幕,v
谢天谢地,i
谢瓦尔德纳泽,nr
谢谢,v
谢意,n
谢罪,v
薪,Ng
薪火,n
薪金,n
薪炭林,n
薪伊,nr
芯,q,Ng
芯片,n
芯片组,n
锌,n
欣,nr,Vg
欣然,d
欣赏,v,vn
欣赏课,n
欣赏热,n
欣慰,an,a
欣闻,v
欣喜,a,an
欣喜若狂,i
欣欣然,z
欣欣向荣,i
欣悦,a
辛,nr
辛德勒,n
辛店镇,ns
辛亥革命,nz
辛吉斯,nr
辛家庄,ns
辛苦,v,a,an,ad,vn
辛辣,a
辛劳,a,an
辛美,nr
辛勤,a,ad
辛酸,a
辛辛苦苦,z
辛辛那提城,ns
辛元,nr
辛佐伊海巴,nr
新,a,d,nr,j,Ng
新安,ns,nr
新版,b
新币,n
新编,vn
新兵,n,nr
新波,nr
新博,nr
新潮,n
新陈代谢,i
新城,n
新城区,n
新程,n
新春,t
新春伊始,l
新村,n
新大新,nz
新代,nr
新党和平,nz
新德,nr
新德里,ns
新低,n
新弟,nr
新东安,nz
新都,ns,n
新饿乡,n
新房,n
新芬党,n
新风,n
新烽,nr
新干县,ns
新高,n
新股,n
新馆,n
新国,nr
新航,j
新鸿基,nz
新华,nr,nz
新华社,nt
新华书店,n,n]nt,n]ns
新化,ns
新会,ns
新婚,n
新机,n
新机制,n
新绩,n
新纪元,n
新加坡,ns
新建,vn,v,nz
新建户,n
新疆,ns
新疆棉,n
新教,n
新教徒,n
新街村,ns
新界,ns
新界埠乡,ns
新进党,n
新近,d
新景,n
新景点,n
新景观,n
新静界,nz
新居,n
新均,nr
新军,n
新刊,n
新款,b
新兰,nr
新郎,n
新老交替,l
新良,nr
新良庄,ns
新龙华,ns,nz
新罗西斯克港,ns
新貌,n
新苗,n
新民,nr,ns
新民晚报,nz
新民主主义,n
新民主主义革命,n
新明,nr,nz
新名优,j
新年,t
新年伊始,l
新娘,n
新宁,nr
新派,n
新篇,n
新篇章,n
新片,n
新奇,a
新启,nr
新气象,n
新桥镇,ns
新庆,nr
新区,n,n]ns,n]nt
新让,nr
新人,n
新人口论,n
新人新事,l
新任,b
新荣,nr
新锐,n
新沙乡镇,ns
新声路,ns
新生,n,v
新生代,n
新生党,n
新生儿,n
新生事物,l
新石器,n
新时,nr
新式,a
新世界,nz
新手,n
新书,n
新说,n
新斯科舍省,ns
新四军,n
新岁,t
新岁伊始,l
新塘,ns
新涛,nr
新桃换旧符,l
新亭,nr
新卫,nz
新文化,n
新闻,n
新闻办,j]nt,j
新闻部,n]nt
新闻部长,n
新闻出版界,n
新闻处,n
新闻点,n
新闻公报,l
新闻官,n
新闻记者,n
新闻奖,n
新闻界,n
新闻局,n]nt
新闻社,n]nt
新闻网,n
新闻学,n
新闻纸,n
新西兰,ns
新西兰队,nt
新喜,n
新鲜,a,an
新鲜菜,n
新鲜度,n
新鲜感,n
新鲜期,n
新鲜肉,n
新鲜事,n
新贤,nr
新县,ns
新线,n
新香,nr
新乡,ns
新星,n,nz
新兴,b,ns,nz
新兴村,ns
新型,b
新秀,n
新秀战,n
新学,nr
新亚,nz
新药,n
新业,n
新衣,n
新沂市,ns
新意,n
新颖,a
新咏,nr
新宇,nr
新月,n
新云,nr
新韵,n
新增,v,nr
新增额,n
新章,nr
新政协,n
新郑,ns
新郑市,ns
新枝,n
新知,n
新址,n
新忠,nr
新州,ns
新著,n
新姿,n
新作,n
新圩镇,ns
新泾乡,ns
忻口,ns
心,n,nr
心爱,b
心病,n
心不在焉,i
心草,nr
心肠,n
心潮,n
心潮难平,l
心潮澎湃,i
心城,nr
心驰神往,i
心慈手软,i
心得,n
心底,n
心地,n
心动,v
心烦,v
心烦意乱,i
心烦意躁,l
心服口服,i
心浮气动,l
心腹之患,i
心甘情愿,i
心格,nr
心功能,n
心寒,a
心灰意冷,i
心机,n
心肌梗塞,n
心急如焚,i
心绞痛,n
心惊,v
心惊胆战,i
心静如水,l
心境,n
心坎,n
心旷神怡,i
心奎,nr
心理,n
心理线,n
心理学,n
心里,s
心里话,n
心里有数,l
心连心,l
心灵,n
心路,n
心满意足,i
心明如镜,l
心目,n
心脑血管,n
心脑血管病,n
心平气和,i
心魄,n
心强,nr
心切,a
心情,n
心上,s
心上人,n
心神不定,i
心声,n
心事,n
心思,n
心酸,a
心算,vn,v
心碎,v
心态,n
心疼,v
心田,n
心跳声,n
心痛病,n
心头,s
心窝,n
心窝子,n
心武,nr
心弦,n
心想,v
心心,n
心心相连,l
心心相印,i
心胸,n
心虚,a
心绪,n
心血,n
心血管,n
心血来潮,i
心眼,n
心仪,v
心仪已久,l
心意,n
心音,n
心有余而力不足,i
心有余悸,i
心愿,n
心脏,n
心脏病,n
心昭,nr
心照不宣,i
心志术业篇,n
心智,nr
心中,s,nr
心中有数,i
心醉,v
心怿,nr
心瀚,nr
心扉,n
信,n,v,nr
信报箱,n
信报箱群,n
信步,v
信成,nr
信贷,n
信贷处,n
信贷资金,n
信袋,n
信道,n
信芳,nr
信访,n
信访办,j
信访件,n
信访室,n]nt
信丰县,ns
信封,n
信奉,v
信服,v
信稿,n
信鸽,n
信函,n
信号,n
信号弹,n
信号枪,n
信件,n
信教,vn
信教者,n
信据,n
信口开河,i
信赖,vn,v
信赖感,n
信利,nz
信民,nr
信念,n
信诺超微,nz
信平,nr
信任,v,vn
信任投票,l
信使,n
信誓旦旦,i
信手,d
信守,v
信条,n
信徒,n
信托,b
信息,n
信息费,n
信息港,n
信息化,vn,v
信息廊,n
信息量,n
信息流,n
信息论,n
信息司,n]nt
信息网,n,n]nz
信息性,n
信息员,n
信箱,n
信心,n
信阳,ns
信仰,n,vn,v
信宜,ns
信宜市,ns
信宜县,ns
信用,n
信用卡,n
信用社,n,n]nt
信誉,n
信誉杯,nz
信哲,nr
信真,nr
信诊,v
信纸,n
星,n,nr
星澳,nz
星报,nz
星迪,nz
星斗,n
星光,n
星光奖,nz
星浩,nr
星河,n
星火,n,nr
星火计划,l
星级,b
星际,n
星空,n
星罗棋布,i
星期,n
星期六,t
星期日,t
星期三,t
星期四,t
星期天,t
星期五,t
星期一,t
星球,n
星如,nr
星顺,nr
星团,n
星文,nr
星系,n
星系团,n
星星,n,q
星星点点,i
星星之火,n
星形,n
星夜,n
星移斗换,l
星云,n
星泽,nr
星照,nr
星子,n
星座,n
腥臭,a
猩红热,n
惺忪,a
兴,v,Ng
兴安,ns,nr
兴办,v
兴城,ns
兴辞,v
兴达,nz
兴地,ns
兴东,nr
兴奋,v,a,an
兴奋点,n
兴奋剂,n
兴风作浪,i
兴高采烈,i
兴工,v
兴桂,nr
兴贵,nr
兴国,nr,v,vn
兴国县,ns
兴海,nr
兴华,nr
兴化,ns
兴化州,ns
兴建,v
兴利除弊,i
兴林,nr
兴隆,a
兴隆村,ns
兴起,v,vn
兴趣,n
兴盛,an,a
兴师动众,i
兴衰,n
兴衰成败,l
兴衰存亡,l
兴叹,v
兴头,n
兴亡,n
兴旺,a,an
兴旺发达,l
兴伟,nr
兴味,n
兴县,ns
兴修,v
兴许,d
兴耀,nr
兴业,v
兴义市,ns
兴源镇,ns
兴缘,nr
兴致,n
兴致勃勃,i
刑,nr,n
刑场,n
刑罚,n
刑法,n
刑法学家,n
刑警,n
刑律,n
刑名,n
刑事,b,d
刑事犯罪,l
刑事诉讼法,n
刑讯,n
刑侦,j
型,k,Ng
型号,n
型式,n
形,Ng,Vg
形不成,v
形成,v,vn
形成期,n
形而上,l
形而上学,n
形而下,b
形容,v
形容词,n
形神各异,l
形神妙肖,i
形式,n
形式化,v
形式美,n
形式主义,n
形势,n
形似,v
形态,n
形态各异,l
形体,n
形同虚设,l
形象,n,a
形象化,v
形形色色,i
形影,n
形影相对,i
形状,n
邢,nr
邢家梁村,ns
邢台,ns
邢台市,ns
行,Ng,v,a,q,nr
行包,j
行不通,v
行草,n
行长,n
行车,v,vn
行车道,n
行程,n
行船,v
行当,n
行动,v,vn
行风,n
行规,n
行贿,vn,v
行迹,n
行家,n
行家里手,i
行间,n
行将,d
行进,v
行径,n
行军,vn,v
行李,n
行列,n
行路,v
行莫厚于乐民,l
行囊,n
行年,v
行频,n
行期,n
行前,t
行情,n
行人,n
行色匆匆,i
行使,v
行驶,v
行事,v
行市,n
行书,n
行署,n
行唐县,ns
行为,n
行为人,n
行侠仗义,l
行销,vn
行星,n
行行出状元,i
行凶,v
行蓄洪区,n
行业,n
行业管理费,n
行医,v,vn
行云流水,i
行增,nr
行政,n,vn,v
行政部,n]nt
行政部门,n
行政处,n
行政处罚法,n
行政处分,l
行政村,n
行政化,v
行政科,n]nt
行政区,n]ns,n
行政区划,n
行政区域,n
行政诉讼,l
行政诉讼法,n
行政性,n
行之有效,i
行装,n
行走,v,vn
行霈,nr
醒,v
醒来,v
醒目,a
醒狮,n
醒狮贺岁,l
醒世,nr
醒悟,v
幸,Vg
幸存,v
幸存者,n
幸福,an,a
幸福感,n
幸福团年宴,nz
幸好,d
幸亏,d
幸免,v
幸生,nr
幸穗,nr
幸运,a,an,nr
幸运卡,n
幸运者,n
杏光,nr
杏花,n
杏花岭区,ns
杏黄色,n
杏林,n
杏仁,n
杏仁露,n
杏五区,ns
杏元,nz
性,Ng
性别,n
性病,n
性初,nr
性复,nr
性格,n
性关系,n
性急,a
性交,vn
性灵,n
性美,nr
性命,n
性谋,nr
性能,n
性情,n
性欲,n
性质,n
性状,n
性子,n
性恺,nr
姓,v,n
姓名,n
姓名牌,n
兄,Ng
兄长,n
兄弟,n
兄妹,n
凶,a
凶恶,a
凶犯,n
凶狠,a
凶猛,an
凶杀,vn,v
凶手,n
胸,Ng
胸痹,vn
胸脯,n
胸怀,n
胸怀坦荡,l
胸怀祖国,l
胸襟,n
胸卡,n
胸口,n
胸前,s
胸膛,n
胸痛,n
胸臆,n
胸有成竹,i
胸章,n
胸中,s
匈,j
匈牙利,ns
汹涌,a
雄,Ag,b,Ng,nr
雄辩,n
雄才,n
雄才伟略,l
雄风,n
雄厚,a
雄浑,z
雄鸡,n
雄鸡头者,n
雄健,nr
雄劲,a
雄踞,v
雄奇,b
雄强,an
雄师,n
雄狮,n
雄图,n
雄伟,an,a
雄县,ns
雄心,n
雄心勃勃,i
雄心壮志,i
雄性,b
雄鹰,n
雄壮,an,a
雄姿,n
雄赳赳,z
熊,n,nr
熊谷,nz
熊猫,n
熊猫１００ＨＺ,nz
熊猫馆,n
熊牛,n
熊派,n
熊市,n
熊熊,z
熊掌,n
休,v
休工,v
休会,v
休假,v,vn
休克,v,vn
休眠,vn
休眠期,t
休戚相关,i
休戚与共,i
休斯敦,ns
休庭,v
休息,vn,v
休息日,n
休息室,n
休闲,v,vn
休闲游,n
休想,v
休养,v
休养生息,i
休整,vn
休止,v
休憩,v
修,v,nr
修补,vn,v
修车,v,vn
修车点,l
修车摊,n
修船,v
修辞,n
修道院,n]nt
修定,v
修订,v,vn
修订版,n
修订本,n
修复,vn,v
修改,v,vn
修国,nr
修好,v
修剪,vn
修建,v,vn
修客,nr
修理,vn,v
修理部,n]nt
修理厂,n
修理点,n
修理费,n
修理工,n
修理铺,n
修炼,v
修路,v,vn
修配厂,n
修平,nr
修缮,v
修身,v
修饰,v
修武县,ns
修修,v
修修补补,v
修修改改,v
修养,n
修源,nr
修正,v,vn
修正案,n
修正主义,n
修筑,v
修葺,v
羞,v,a
羞耻,n
羞愧,v
羞辱,vn,v
羞涩,a
羞于启齿,l
嗅,v
锈病,n
锈迹,n
锈蚀,v
秀,Ag,nr
秀璈,nr
秀斌,nr
秀才,n
秀晨,nr
秀发,n
秀芳,nr
秀恒,nr
秀红,nr
秀娟,nr
秀宽,nr
秀兰,nr
秀丽,a
秀莲,nr
秀梅,nr
秀美,a
秀萍,nr
秀荣,nr
秀色,n
秀山,nr
秀诗,nr
秀水坪村,ns
秀棠,nr
秀庭,nr
秀新,nr
秀秀,nr
秀艳,nr
秀仪,nr
秀英,nr
秀云,nr
秀珍,nr
秀智,nr
秀壮,nr
袖,Ng
袖口,n
袖手旁观,i
袖筒,n
袖珍,b
袖子,n
绣,v
绣花,v
